20041213,IZ4,IH5,IM5,IU5,IZ5,IH6,IM6,IU6,IZ6,IH7,IM7,IU7,IZ7,IH8,IM8,IU8
20050314,IH5,IM5,IU5,IZ5,IH6,IM6,IU6,IZ6,IH7,IM7,IU7,IZ7,IH8,IM8,IU8,IZ8
20050613,IM5,IU5,IZ5,IH6,IM6,IU6,IZ6,IH7,IM7,IU7,IZ7,IH8,IM8,IU8,IZ8,IH9
20050919,IU5,IZ5,IH6,IM6,IU6,IZ6,IH7,IM7,IU7,IZ7,IH8,IM8,IU8,IZ8,IH9,IM9
20051219,IZ5,IH6,IM6,IU6,IZ6,IH7,IM7,IU7,IZ7,IH8,IM8,IU8,IZ8,IH9,IM9,IU9
20060313,IH6,IM6,IU6,IZ6,IH7,IM7,IU7,IZ7,IH8,IM8,IU8,IZ8,IH9,IM9,IU9,IZ9
20060619,IM6,IU6,IZ6,IH7,IM7,IU7,IZ7,IH8,IM8,IU8,IZ8,IH9,IM9,IU9,IZ9,IH0
20060918,IU6,IZ6,IH7,IM7,IU7,IZ7,IH8,IM8,IU8,IZ8,IH9,IM9,IU9,IZ9,IH0,IM0
20061218,IZ6,IH7,IM7,IU7,IZ7,IH8,IM8,IU8,IZ8,IH9,IM9,IU9,IZ9,IH0,IM0,IU0
20070319,IH7,IM7,IU7,IZ7,IH8,IM8,IU8,IZ8,IH9,IM9,IU9,IZ9,IH0,IM0,IU0,IZ0
20070618,IM7,IU7,IZ7,IH8,IM8,IU8,IZ8,IH9,IM9,IU9,IZ9,IH0,IM0,IU0,IZ0,IH1
20070917,IU7,IZ7,IH8,IM8,IU8,IZ8,IH9,IM9,IU9,IZ9,IH0,IM0,IU0,IZ0,IH1,IM1
20071217,IZ7,IH8,IM8,IU8,IZ8,IH9,IM9,IU9,IZ9,IH0,IM0,IU0,IZ0,IH1,IM1,IU1
20080317,IH8,IM8,IU8,IZ8,IH9,IM9,IU9,IZ9,IH0,IM0,IU0,IZ0,IH1,IM1,IU1,IZ1
20080616,IM8,IU8,IZ8,IH9,IM9,IU9,IZ9,IH0,IM0,IU0,IZ0,IH1,IM1,IU1,IZ1,IH2
20080915,IU8,IZ8,IH9,IM9,IU9,IZ9,IH0,IM0,IU0,IZ0,IH1,IM1,IU1,IZ1,IH2,IM2
20081215,IZ8,IH9,IM9,IU9,IZ9,IH0,IM0,IU0,IZ0,IH1,IM1,IU1,IZ1,IH2,IM2,IU2
20090316,IH9,IM9,IU9,IZ9,IH0,IM0,IU0,IZ0,IH1,IM1,IU1,IZ1,IH2,IM2,IU2,IZ2
20090615,IM9,IU9,IZ9,IH0,IM0,IU0,IZ0,IH1,IM1,IU1,IZ1,IH2,IM2,IU2,IZ2,IH3
20090914,IU9,IZ9,IH0,IM0,IU0,IZ0,IH1,IM1,IU1,IZ1,IH2,IM2,IU2,IZ2,IH3,IM3
20091214,IZ9,IH0,IM0,IU0,IZ0,IH1,IM1,IU1,IZ1,IH2,IM2,IU2,IZ2,IH3,IM3,IU3
