20041213,GEZ4,GEH5,GEM5,GEU5,GEZ5,GEH6,GEM6,GEU6,GEZ6,GEH7,GEM7,GEU7,GEZ7,GEH8,GEM8,GEU8
20050314,GEH5,GEM5,GEU5,GEZ5,GEH6,GEM6,GEU6,GEZ6,GEH7,GEM7,GEU7,GEZ7,GEH8,GEM8,GEU8,GEZ8
20050613,GEM5,GEU5,GEZ5,GEH6,GEM6,GEU6,GEZ6,GEH7,GEM7,GEU7,GEZ7,GEH8,GEM8,GEU8,GEZ8,GEH9
20050919,GEU5,GEZ5,GEH6,GEM6,GEU6,GEZ6,GEH7,GEM7,GEU7,GEZ7,GEH8,GEM8,GEU8,GEZ8,GEH9,GEM9
20051219,GEZ5,GEH6,GEM6,GEU6,GEZ6,GEH7,GEM7,GEU7,GEZ7,GEH8,GEM8,GEU8,GEZ8,GEH9,GEM9,GEU9
20060313,GEH6,GEM6,GEU6,GEZ6,GEH7,GEM7,GEU7,GEZ7,GEH8,GEM8,GEU8,GEZ8,GEH9,GEM9,GEU9,GEZ9
20060619,GEM6,GEU6,GEZ6,GEH7,GEM7,GEU7,GEZ7,GEH8,GEM8,GEU8,GEZ8,GEH9,GEM9,GEU9,GEZ9,GEH0
20060918,GEU6,GEZ6,GEH7,GEM7,GEU7,GEZ7,GEH8,GEM8,GEU8,GEZ8,GEH9,GEM9,GEU9,GEZ9,GEH0,GEM0
20061218,GEZ6,GEH7,GEM7,GEU7,GEZ7,GEH8,GEM8,GEU8,GEZ8,GEH9,GEM9,GEU9,GEZ9,GEH0,GEM0,GEU0
20070319,GEH7,GEM7,GEU7,GEZ7,GEH8,GEM8,GEU8,GEZ8,GEH9,GEM9,GEU9,GEZ9,GEH0,GEM0,GEU0,GEZ0
20070618,GEM7,GEU7,GEZ7,GEH8,GEM8,GEU8,GEZ8,GEH9,GEM9,GEU9,GEZ9,GEH0,GEM0,GEU0,GEZ0,GEH1
20070917,GEU7,GEZ7,GEH8,GEM8,GEU8,GEZ8,GEH9,GEM9,GEU9,GEZ9,GEH0,GEM0,GEU0,GEZ0,GEH1,GEM1
20071217,GEZ7,GEH8,GEM8,GEU8,GEZ8,GEH9,GEM9,GEU9,GEZ9,GEH0,GEM0,GEU0,GEZ0,GEH1,GEM1,GEU1
20080317,GEH8,GEM8,GEU8,GEZ8,GEH9,GEM9,GEU9,GEZ9,GEH0,GEM0,GEU0,GEZ0,GEH1,GEM1,GEU1,GEZ1
20080616,GEM8,GEU8,GEZ8,GEH9,GEM9,GEU9,GEZ9,GEH0,GEM0,GEU0,GEZ0,GEH1,GEM1,GEU1,GEZ1,GEH2
20080915,GEU8,GEZ8,GEH9,GEM9,GEU9,GEZ9,GEH0,GEM0,GEU0,GEZ0,GEH1,GEM1,GEU1,GEZ1,GEH2,GEM2
20081215,GEZ8,GEH9,GEM9,GEU9,GEZ9,GEH0,GEM0,GEU0,GEZ0,GEH1,GEM1,GEU1,GEZ1,GEH2,GEM2,GEU2
20090316,GEH9,GEM9,GEU9,GEZ9,GEH0,GEM0,GEU0,GEZ0,GEH1,GEM1,GEU1,GEZ1,GEH2,GEM2,GEU2,GEZ2
20090615,GEM9,GEU9,GEZ9,GEH0,GEM0,GEU0,GEZ0,GEH1,GEM1,GEU1,GEZ1,GEH2,GEM2,GEU2,GEZ2,GEH3
20090914,GEU9,GEZ9,GEH0,GEM0,GEU0,GEZ0,GEH1,GEM1,GEU1,GEZ1,GEH2,GEM2,GEU2,GEZ2,GEH3,GEM3
20091214,GEZ9,GEH0,GEM0,GEU0,GEZ0,GEH1,GEM1,GEU1,GEZ1,GEH2,GEM2,GEU2,GEZ2,GEH3,GEM3,GEU3
20100315,GEH0,GEM0,GEU0,GEZ0,GEH1,GEM1,GEU1,GEZ1,GEH2,GEM2,GEU2,GEZ2,GEH3,GEM3,GEU3,GEZ3
20100614,GEM0,GEU0,GEZ0,GEH1,GEM1,GEU1,GEZ1,GEH2,GEM2,GEU2,GEZ2,GEH3,GEM3,GEU3,GEZ3,GEH4
20100913,GEU0,GEZ0,GEH1,GEM1,GEU1,GEZ1,GEH2,GEM2,GEU2,GEZ2,GEH3,GEM3,GEU3,GEZ3,GEH4,GEM4
20101213,GEZ0,GEH1,GEM1,GEU1,GEZ1,GEH2,GEM2,GEU2,GEZ2,GEH3,GEM3,GEU3,GEZ3,GEH4,GEM4,GEU4
20110314,GEH1,GEM1,GEU1,GEZ1,GEH2,GEM2,GEU2,GEZ2,GEH3,GEM3,GEU3,GEZ3,GEH4,GEM4,GEU4,GEZ4
20110613,GEM1,GEU1,GEZ1,GEH2,GEM2,GEU2,GEZ2,GEH3,GEM3,GEU3,GEZ3,GEH4,GEM4,GEU4,GEZ4,GEH5
