KRW_ConsumerPriceIndex;20120131;23:00;Consumer Price Index Growth (MoM);South Korea;KRW;1
AUD_AiGPerformanceofMfgIndex;20120131;22:30;AiG Performance of Mfg Index;Australia;AUD;1
USD_ConsumerConfidence;20120131;15:00;Consumer Confidence;United States;USD;1
USD_ChicagoPurchasingManagers'Index;20120131;14:45;Chicago Purchasing Managers' Index;United States;USD;1
USD_S&PCaseShillerHomePriceIndices;20120131;14:00;S&P/Case-Shiller Home Price Indices (YoY);United States;USD;1
CAD_RawMaterialPriceIndex;20120131;13:30;Raw Material Price Index;Canada;CAD;2
CAD_IndustrialProductPrice;20120131;13:30;Industrial Product Price (MoM);Canada;CAD;1
CAD_GrossDomesticProduct;20120131;13:30;Gross Domestic Product (MoM);Canada;CAD;2
USD_EmploymentCostIndex;20120131;12:30;Employment Cost Index;United States;USD;1
BRL_NominalBudgetBalance;20120131;12:30;Nominal Budget Balance;Brazil;BRL;1
BRL_PrimaryBudgetSurplus;20120131;12:30;Primary Budget Surplus;Brazil;BRL;1
CLP_Unemploymentrate;20120131;12:00;Unemployment rate;Chile;CLP;1
ZAR_TradeBalance;20120131;12:00;Trade Balance (in Rands);South Africa;ZAR;1
BRL_IndustrialOutput;20120131;11:00;Industrial Output (YoY);Brazil;BRL;1
EUR_IreConsumerConfidence;20120131;11:00;Consumer Confidence;Ireland;EUR;1
INR_FederalFiscalDeficitINR;20120131;10:30;Federal Fiscal Deficit, INR;India;INR;1
EUR_ItaProducerPriceIndex;20120131;10:00;Producer Price Index (MoM);Italy;EUR;1
EUR_EurUnemploymentRate;20120131;10:00;Unemployment Rate;European Monetary Union;EUR;3
EUR_GreRetailSales;20120131;10:00;Retail Sales (YoY);Greece;EUR;1
GBP_NetLendingtoIndividuals;20120131;09:30;Net Lending to Individuals (MoM);United Kingdom;GBP;2
GBP_ConsumerCredit;20120131;09:30;Consumer Credit;United Kingdom;GBP;1
GBP_MortgageApprovals;20120131;09:30;Mortgage Approvals;United Kingdom;GBP;1
GBP_M4MoneySupply;20120131;09:30;M4 Money Supply (YoY);United Kingdom;GBP;1
CZK_M2MoneySupply;20120131;09:00;M2 Money Supply (YoY);Czech Republic;CZK;1
EUR_ItaUnemployment;20120131;09:00;Unemployment;Italy;EUR;0
NOK_RetailSales;20120131;09:00;Retail Sales ;Norway;NOK;1
NOK_CreditIndicator;20120131;09:00;Credit Indicator;Norway;NOK;1
EUR_GerUnemploymentChange;20120131;08:55;Unemployment Change;Germany;EUR;3
EUR_GerUnemploymentRate;20120131;08:55;Unemployment Rate s.a.;Germany;EUR;3
EUR_SpaHICP;20120131;08:00;HICP (YoY);Spain;EUR;1
TRY_TradeBalance;20120131;08:00;Trade Balance;Turkey;TRY;1
HUF_UnemploymentRate;20120131;08:00;Unemployment Rate (3M);Hungary;HUF;1
HUF_ProducerPriceIndex;20120131;08:00;Producer Price Index (YoY);Hungary;HUF;1
EUR_SpaCurrentAccount;20120131;08:00;Current Account Balance;Spain;EUR;1
EUR_FraProducerPrices;20120131;07:45;Producer Prices (MoM);France;EUR;1
EUR_FraConsumerSpending;20120131;07:45;Consumer Spending (MoM);France;EUR;1
CHF_UBSConsumptionIndicator;20120131;07:00;UBS Consumption Indicator;Switzerland;CHF;1
EUR_GerRetailSales;20120131;07:00;Retail Sales (YoY);Germany;EUR;2
INR_InfrastructureOutput;20120131;06:30;Infrastructure Output (YoY);India;INR;1
ZAR_M3MoneySupply;20120131;06:00;M3 Money Supply (YoY);South Africa;ZAR;1
ZAR_PrivateSectorCredit;20120131;06:00;Private Sector Credit;South Africa;ZAR;1
JPY_HousingStarts;20120131;05:00;Housing Starts (YoY);Japan;JPY;1
JPY_ConstructionOrders;20120131;05:00;Construction Orders (YoY);Japan;JPY;1
NZD_M3MoneySupply;20120131;02:00;M3 Money Supply (YoY);New Zealand;NZD;1
SGD_Unemploymentrate;20120131;01:00;Unemployment rate;Singapore;SGD;1
AUD_PrivateSectorCredit;20120131;00:30;Private Sector Credit (YoY);Australia;AUD;2
AUD_NationalAustraliaBankBusinessConfidence;20120131;00:30;National Australia Bank Business Confidence;Australia;AUD;2
AUD_NationalAustraliaBankBusinessConditions;20120131;00:30;National Australia Bank Business Conditions;Australia;AUD;2
GBP_GfKConsumerConfidence;20120131;00:01;GfK Consumer Confidence;United Kingdom;GBP;2
