KRW_ConsumerSentimentIndex;20141223;21:00;Consumer Sentiment Index;South Korea;KRW;1
USD_Auction;20141223;18:00;5-Year Note Auction;United States;USD;1
USD_PersonalConsumptionExpendituresPriceIndex;20141223;15:00;Personal Consumption Expenditures - Price Index (MoM);United States;USD;1
USD_PersonalSpending;20141223;15:00;Personal Spending;United States;USD;2
USD_CorePersonalConsumptionExpenditurePriceIndex;20141223;15:00;Core Personal Consumption Expenditure - Price Index (MoM);United States;USD;1
USD_PersonalIncome;20141223;15:00;Personal Income (MoM);United States;USD;2
USD_NewHomeSales;20141223;15:00;New Home Sales (MoM);United States;USD;1
USD_NewHomeSalesChange;20141223;15:00;New Home Sales Change (MoM);United States;USD;2
USD_RichmondFedManufacturingIndex;20141223;15:00;Richmond Fed Manufacturing Index;United States;USD;1
USD_MichiganConsumerSentimentIndex;20141223;14:55;Michigan Consumer Sentiment Index;United States;USD;2
USD_HousingPriceIndex;20141223;14:00;Housing Price Index (MoM);United States;USD;1
EUR_BelLeadingIndicator;20141223;14:00;Leading Indicator;Belgium;EUR;1
MXN_1sthalfmonthCoreInflation;20141223;14:00;1st half-month Core Inflation;Mexico;MXN;1
MXN_1sthalfmonthInflation;20141223;14:00;1st half-month Inflation;Mexico;MXN;1
USD_RedbookIndex;20141223;13:55;Redbook Index (YoY);United States;USD;1
USD_GrossDomesticProduct;20141223;13:30;Gross Domestic Product Annualized;United States;USD;3
CAD_GrossDomesticProduct;20141223;13:30;Gross Domestic Product (MoM);Canada;CAD;2
USD_CorePersonalConsumptionExpenditures;20141223;13:30;Core Personal Consumption Expenditures (QoQ);United States;USD;2
USD_PersonalConsumptionExpendituresPrices;20141223;13:30;Personal Consumption Expenditures Prices (QoQ);United States;USD;2
USD_DurableGoodsOrders;20141223;13:30;Durable Goods Orders ex Transportation;United States;USD;2
GBP_BBAMortgageApprovals;20141223;09:30;BBA Mortgage Approvals;United Kingdom;GBP;2
GBP_GrossDomesticProduct;20141223;09:30;Gross Domestic Product (YoY);United Kingdom;GBP;3
GBP_TotalBusinessInvestment;20141223;09:30;Total Business Investment (QoQ);United Kingdom;GBP;1
EUR_BelConsumerPriceIndex;20141223;09:30;Consumer Price Index (MoM);Belgium;EUR;1
GBP_IndexofServices;20141223;09:30;Index of Services (3M/3M);United Kingdom;GBP;1
GBP_CurrentAccount;20141223;09:30;Current Account;United Kingdom;GBP;1
PLN_Unemployment;20141223;09:00;Unemployment (MoM);Poland;PLN;1
PLN_RetailSales;20141223;09:00;Retail Sales (YoY);Poland;PLN;1
EUR_ItaRetailSales;20141223;09:00;Retail Sales n.s.a (YoY);Italy;EUR;1
TRY_ForeignArrivals;20141223;09:00;Foreign Arrivals;Turkey;TRY;1
NOK_LabourForceSurvey;20141223;09:00;Labour Force Survey;Norway;NOK;1
HKD_ConsumerPriceIndex;20141223;08:30;Consumer Price Index;Hong Kong SAR;HKD;1
SEK_ProducerPriceIndex;20141223;08:30;Producer Price Index (YoY);Sweden;SEK;1
DKK_GrossDomesticProduct;20141223;08:00;Gross Domestic Product - Revised (YoY);Denmark;DKK;1
EUR_SpaProducerPriceIndex;20141223;08:00;Producer Price Index (YoY);Spain;EUR;1
EUR_AusIndustrialProduction;20141223;08:00;Industrial Production (YoY);Austria;EUR;1
EUR_FraProducerPrices;20141223;07:45;Producer Prices (MoM);France;EUR;1
EUR_FraGrossDomesticProduct;20141223;07:45;Gross Domestic Product (YoY);France;EUR;2
EUR_FraConsumerSpending;20141223;07:45;Consumer Spending (MoM);France;EUR;1
HUF_CurrentAccount;20141223;07:30;Current Account Balance (QoQ);Hungary;HUF;1
EUR_FinProducerPriceIndex;20141223;07:00;Producer Price Index (YoY);Finland;EUR;1
EUR_FinUnemploymentRate;20141223;07:00;Unemployment Rate;Finland;EUR;1
EUR_FinImportPrices;20141223;07:00;Import Prices (YoY);Finland;EUR;1
EUR_FinExportPrices;20141223;07:00;Export Prices (YoY);Finland;EUR;1
SGD_ConsumerPriceIndex;20141223;05:00;Consumer Price Index (YoY);Singapore;SGD;1
NZD_M3MoneySupply;20141223;02:00;M3 Money Supply (YoY);New Zealand;NZD;1
JPY_TheEmperorBirthday;20141223;00:00;The Emperor Birthday;Japan;JPY;0
EUR_GrePresidentialelections;20141223;00:00;Presidential elections;Greece;EUR;2
